Test Points Classification Results
fs (kPa)        qE (MPa)        P(soil1)        P(soil2)        P(soil3)        P(soil4)        Max Prob Soil  
23.00           1.11            0.0000          0.4954          0.5025          0.0020          soil3          
37.92           1.70            0.0000          0.0006          0.9441          0.0553          soil3          
26.84           1.15            0.0000          0.3491          0.6472          0.0038          soil3          
42.42           1.39            0.0000          0.0126          0.9609          0.0265          soil3          
39.51           1.37            0.0000          0.0229          0.9560          0.0211          soil3          
26.11           1.10            0.0000          0.4434          0.5538          0.0027          soil3          
29.36           1.39            0.0000          0.0536          0.9344          0.0121          soil3          
39.77           1.87            0.0000          0.0000          0.8878          0.1121          soil3          
32.08           1.18            0.0000          0.2062          0.7868          0.0070          soil3          
52.77           1.79            0.0000          0.0000          0.8637          0.1363          soil3          
51.47           1.54            0.0000          0.0006          0.9366          0.0628          soil3          
60.05           3.61            0.0000          0.0000          0.0000          1.0000          soil4          
63.95           2.54            0.0000          0.0000          0.1183          0.8817          soil4          
64.91           3.03            0.0000          0.0000          0.0049          0.9951          soil4          
61.94           2.64            0.0000          0.0000          0.0702          0.9298          soil4          
37.47           1.38            0.0000          0.0267          0.9540          0.0193          soil3          
48.74           3.86            0.0000          0.0000          0.0000          1.0000          soil4          
78.58           4.24            0.0000          0.0000          0.0000          1.0000          soil4          
46.14           1.34            0.0000          0.0105          0.9605          0.0291          soil3          
72.64           1.29            0.0000          0.0000          0.8976          0.1024          soil3          
34.97           1.36            0.0000          0.0415          0.9427          0.0157          soil3          
34.35           0.83            0.0011          0.4687          0.5271          0.0031          soil3          
3.65            0.13            0.3922          0.4736          0.1342          0.0000          soil2          
4.70            0.15            0.4475          0.4364          0.1161          0.0000          soil1          
5.75            0.16            0.4973          0.4015          0.1011          0.0000          soil1          
6.80            0.18            0.5405          0.3705          0.0890          0.0000          soil1          
7.85            0.20            0.5766          0.3439          0.0794          0.0000          soil1          
9.89            0.22            0.5714          0.3459          0.0827          0.0000          soil1          
11.94           0.24            0.5497          0.3594          0.0908          0.0001          soil1          
24.19           0.40            0.2252          0.5411          0.2332          0.0005          soil2          
27.37           0.63            0.1120          0.6406          0.2466          0.0007          soil2          
57.64           1.02            0.0000          0.0050          0.9605          0.0345          soil3          
29.13           0.55            0.0787          0.5933          0.3269          0.0011          soil2          
13.86           0.36            0.7438          0.2185          0.0377          0.0000          soil1          
11.22           0.39            0.8342          0.1472          0.0186          0.0000          soil1          
13.71           0.47            0.8068          0.1721          0.0211          0.0000          soil1          
15.70           0.59            0.6813          0.2838          0.0349          0.0000          soil1          
11.79           0.46            0.8389          0.1450          0.0161          0.0000          soil1          
13.13           0.51            0.8077          0.1730          0.0193          0.0000          soil1          
23.56           0.76            0.0764          0.7310          0.1922          0.0004          soil2          
19.11           0.59            0.5502          0.3875          0.0623          0.0001          soil1          
12.02           0.47            0.8348          0.1487          0.0165          0.0000          soil1          
11.49           0.43            0.8416          0.1419          0.0165          0.0000          soil1          
10.50           0.43            0.8539          0.1318          0.0143          0.0000          soil1          
10.74           0.42            0.8488          0.1356          0.0156          0.0000          soil1          
11.82           0.44            0.8377          0.1453          0.0170          0.0000          soil1          
12.36           0.49            0.8261          0.1567          0.0171          0.0000          soil1          
10.62           0.41            0.8468          0.1370          0.0162          0.0000          soil1          
10.60           0.44            0.8530          0.1326          0.0144          0.0000          soil1          
10.90           0.47            0.8475          0.1383          0.0143          0.0000          soil1          
11.94           0.49            0.8324          0.1514          0.0162          0.0000          soil1          
12.78           0.52            0.8071          0.1742          0.0187          0.0000          soil1          
13.34           0.50            0.8067          0.1736          0.0198          0.0000          soil1          
12.87           0.52            0.8063          0.1748          0.0189          0.0000          soil1          
12.50           0.50            0.8179          0.1645          0.0177          0.0000          soil1          
13.33           0.50            0.8089          0.1714          0.0197          0.0000          soil1          
11.90           0.46            0.8374          0.1463          0.0163          0.0000          soil1          
11.50           0.45            0.8429          0.1414          0.0157          0.0000          soil1          
11.06           0.41            0.8425          0.1407          0.0168          0.0000          soil1          
11.60           0.36            0.8054          0.1701          0.0245          0.0000          soil1          
10.72           0.36            0.8198          0.1584          0.0217          0.0000          soil1          
10.56           0.40            0.8467          0.1371          0.0162          0.0000          soil1          
14.27           0.52            0.7787          0.1980          0.0233          0.0000          soil1          
11.69           0.54            0.8018          0.1805          0.0177          0.0000          soil1          
